Block,Strain,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp,Inf
1,SKN-1,ev,16,5,2-Mar,L,16-Feb,14,0,0,0
1,SKN-1,ev,16,6,4-Mar,E,16-Feb,16,0,1,0
1,SKN-1,ev,16,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,16,8,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,16,9,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,16,10,10-Mar,D,16-Feb,22,1,0,0
1,SKN-1,daf,17,1,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,daf,17,2,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,daf,17,3,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,17,4,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,17,5,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,17,6,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,17,7,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,17,8,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,17,9,10-Mar,D,16-Feb,22,1,0,0
1,SKN-1,daf,17,10,11-Mar,D,16-Feb,23,1,0,0
1,SKN-1,daf,18,1,24-Feb,M,16-Feb,8,1,0,0
1,SKN-1,daf,18,2,24-Feb,W,16-Feb,8,0,0,0
1,SKN-1,daf,18,3,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,daf,18,4,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,daf,18,5,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,18,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,18,7,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,18,8,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,18,9,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,18,10,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,19,1,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,ev,19,2,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,ev,19,3,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,ev,19,4,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,19,5,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,19,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,19,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,19,8,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,19,9,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,19,10,10-Mar,D,16-Feb,22,1,0,0
1,SKN-1,daf,20,1,26-Feb,M,16-Feb,10,1,0,0
1,SKN-1,daf,20,2,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,daf,20,3,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,20,4,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,20,5,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,20,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,20,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,20,8,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,20,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,20,10,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,1,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,1,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,1,3,26-Feb,M,16-Feb,10,1,0,0
1,N2,ev,1,4,27-Feb,M,16-Feb,11,1,0,0
1,N2,ev,1,5,6-Mar,D,16-Feb,18,1,0,0
1,N2,ev,1,6,6-Mar,D,16-Feb,18,1,0,0
1,N2,ev,1,7,8-Mar,D,16-Feb,20,1,0,1
1,N2,ev,1,8,10-Mar,D,16-Feb,22,1,0,1
1,N2,ev,1,9,12-Mar,D,16-Feb,24,1,0,1
1,N2,ev,1,10,12-Mar,D,16-Feb,24,1,0,1
1,N2,ev,2,1,20-Feb,M,16-Feb,4,1,0,0
1,N2,ev,2,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,2,3,25-Feb,M,16-Feb,9,1,0,0
1,N2,ev,2,4,26-Feb,M,16-Feb,10,1,0,0
1,N2,ev,2,5,26-Feb,M,16-Feb,10,1,0,0
1,N2,ev,2,6,7-Mar,D,16-Feb,19,1,0,0
1,N2,ev,2,7,7-Mar,D,16-Feb,19,1,0,0
1,N2,ev,2,8,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,2,9,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,2,10,13-Mar,D,16-Feb,25,1,0,0
1,N2,ev,3,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,3,2,4-Mar,D,16-Feb,16,1,0,0
1,N2,ev,3,3,5-Mar,E,16-Feb,17,0,1,0
1,N2,ev,3,4,6-Mar,E,16-Feb,18,0,1,0
1,N2,ev,3,5,7-Mar,D,16-Feb,19,1,0,0
1,N2,ev,3,6,8-Mar,D,16-Feb,20,1,0,0
1,N2,ev,3,7,8-Mar,D,16-Feb,20,1,0,1
1,N2,ev,3,8,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,3,9,10-Mar,D,16-Feb,22,1,0,0
1,N2,ev,3,10,11-Mar,D,16-Feb,23,1,0,0
1,N2,daf,4,1,26-Feb,M,16-Feb,10,1,0,0
1,N2,daf,4,2,26-Feb,M,16-Feb,10,1,0,0
1,N2,daf,4,3,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,4,4,28-Feb,M,16-Feb,12,1,0,0
1,N2,daf,4,5,16-Mar,D,16-Feb,28,1,0,0
1,N2,daf,4,6,17-Mar,D,16-Feb,29,1,0,0
1,N2,daf,4,7,17-Mar,D,16-Feb,29,1,0,0
1,N2,daf,4,8,19-Mar,D,16-Feb,31,1,0,0
1,N2,daf,4,9,21-Mar,D,16-Feb,33,1,0,0
1,N2,daf,4,10,22-Mar,D,16-Feb,34,1,0,0
1,N2,ev,5,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,5,2,5-Mar,D,16-Feb,17,1,0,0
1,N2,ev,5,3,7-Mar,D,16-Feb,19,1,0,0
1,N2,ev,5,4,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,5,5,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,5,6,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,5,7,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,5,8,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,5,9,10-Mar,D,16-Feb,22,1,0,0
1,N2,ev,5,10,13-Mar,D,16-Feb,25,1,0,0
1,N2,daf,6,1,23-Feb,M,16-Feb,7,1,0,0
1,N2,daf,6,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,daf,6,3,26-Feb,M,16-Feb,10,1,0,0
1,N2,daf,6,4,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,6,5,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,6,6,8-Mar,D,16-Feb,20,1,0,0
1,N2,daf,6,7,16-Mar,D,16-Feb,28,1,0,0
1,N2,daf,6,8,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,6,9,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,6,10,21-Mar,D,16-Feb,33,1,0,0
1,N2,daf,7,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,daf,7,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,daf,7,3,2-Mar,M,16-Feb,14,1,0,0
1,N2,daf,7,4,11-Mar,D,16-Feb,23,1,0,0
1,N2,daf,7,5,14-Mar,D,16-Feb,26,1,0,0
1,N2,daf,7,6,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,7,7,16-Mar,D,16-Feb,28,1,0,0
1,N2,daf,7,8,19-Mar,D,16-Feb,31,1,0,0
1,N2,daf,7,9,20-Mar,D,16-Feb,32,1,0,0
1,N2,daf,7,10,22-Mar,D,16-Feb,34,1,0,0
1,N2,daf,8,1,22-Feb,W,16-Feb,6,0,0,0
1,N2,daf,8,2,23-Feb,M,16-Feb,7,1,0,0
1,N2,daf,8,3,24-Feb,M,16-Feb,8,1,0,0
1,N2,daf,8,4,26-Feb,M,16-Feb,10,1,0,0
1,N2,daf,8,5,6-Mar,E,16-Feb,18,0,1,0
1,N2,daf,8,6,14-Mar,D,16-Feb,26,1,0,0
1,N2,daf,8,7,17-Mar,D,16-Feb,29,1,0,0
1,N2,daf,8,8,17-Mar,D,16-Feb,29,1,0,0
1,N2,daf,8,9,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,8,10,22-Mar,D,16-Feb,34,1,0,0
1,N2,ev,9,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,9,2,6-Mar,D,16-Feb,18,1,0,0
1,N2,ev,9,3,6-Mar,D,16-Feb,18,1,0,0
1,N2,ev,9,4,6-Mar,D,16-Feb,18,1,0,0
1,N2,ev,9,5,8-Mar,D,16-Feb,20,1,0,0
1,N2,ev,9,6,8-Mar,D,16-Feb,20,1,0,0
1,N2,ev,9,7,8-Mar,D,16-Feb,20,1,0,0
1,N2,ev,9,8,9-Mar,D,16-Feb,21,1,0,0
1,N2,ev,9,9,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,9,10,14-Mar,D,16-Feb,26,1,0,0
1,N2,daf,10,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,daf,10,2,28-Feb,M,16-Feb,12,1,0,0
1,N2,daf,10,3,4-Mar,L,16-Feb,16,0,0,0
1,N2,daf,10,4,5-Mar,D,16-Feb,17,1,0,0
1,N2,daf,10,5,9-Mar,D,16-Feb,21,1,0,0
1,N2,daf,10,6,11-Mar,D,16-Feb,23,1,0,0
1,N2,daf,10,7,14-Mar,D,16-Feb,26,1,0,0
1,N2,daf,10,8,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,10,9,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,10,10,17-Mar,D,16-Feb,29,1,0,0
1,N2,ev,11,1,23-Feb,M,16-Feb,7,1,0,0
1,N2,ev,11,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,11,3,02-Mar,D,16-Feb,14,1,0,0
1,N2,ev,11,4,06-Mar,D,16-Feb,18,1,0,0
1,N2,ev,11,5,06-Mar,D,16-Feb,18,1,0,0
1,N2,ev,11,6,08-Mar,D,16-Feb,20,1,0,0
1,N2,ev,11,7,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,11,8,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,11,9,10-Mar,D,16-Feb,22,1,0,0
1,N2,ev,11,10,10-Mar,D,16-Feb,22,1,0,0
1,N2,daf,12,1,19-Feb,L,16-Feb,3,0,0,0
1,N2,daf,12,2,23-Feb,M,16-Feb,7,1,0,0
1,N2,daf,12,3,13-Mar,D,16-Feb,25,1,0,0
1,N2,daf,12,4,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,12,5,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,12,6,16-Mar,D,16-Feb,28,1,0,0
1,N2,daf,12,7,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,12,8,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,12,9,19-Mar,D,16-Feb,31,1,0,0
1,N2,daf,12,10,20-Mar,D,16-Feb,32,1,0,0
1,N2,daf,13,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,daf,13,2,26-Feb,M,16-Feb,10,1,0,0
1,N2,daf,13,3,26-Feb,M,16-Feb,10,1,0,0
1,N2,daf,13,4,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,13,5,28-Feb,M,16-Feb,12,1,0,0
1,N2,daf,13,6,09-Mar,D,16-Feb,21,1,0,0
1,N2,daf,13,7,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,13,8,15-Mar,D,16-Feb,27,1,0,0
1,N2,daf,13,9,21-Mar,D,16-Feb,33,1,0,0
1,N2,daf,13,10,22-Mar,D,16-Feb,34,1,0,0
1,N2,ev,14,1,23-Feb,M,16-Feb,7,1,0,0
1,N2,ev,14,2,28-Feb,M,16-Feb,12,1,0,0
1,N2,ev,14,3,02-Mar,D,16-Feb,14,1,0,0
1,N2,ev,14,4,05-Mar,D,16-Feb,17,1,0,0
1,N2,ev,14,5,06-Mar,D,16-Feb,18,1,0,0
1,N2,ev,14,6,07-Mar,D,16-Feb,19,1,0,0
1,N2,ev,14,7,08-Mar,D,16-Feb,20,1,0,0
1,N2,ev,14,8,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,14,9,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,14,10,12-Mar,D,16-Feb,24,1,0,0
1,N2,ev,15,1,20-Feb,L,16-Feb,4,0,0,0
1,N2,ev,15,2,20-Feb,M,16-Feb,4,1,0,0
1,N2,ev,15,3,21-Feb,L,16-Feb,5,0,0,0
1,N2,ev,15,4,03-Mar,D,16-Feb,15,1,0,0
1,N2,ev,15,5,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,15,6,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,15,7,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,15,8,10-Mar,D,16-Feb,22,1,0,0
1,N2,ev,15,9,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,15,10,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,16,1,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,16,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,16,3,06-Mar,D,16-Feb,18,1,0,0
1,N2,ev,16,4,07-Mar,D,16-Feb,19,1,0,0
1,N2,ev,16,5,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,16,6,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,16,7,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,16,8,11-Mar,D,16-Feb,23,1,0,0
1,N2,ev,16,9,12-Mar,D,16-Feb,24,1,0,0
1,N2,ev,16,10,12-Mar,D,16-Feb,24,1,0,0
1,N2,daf,17,1,23-Feb,W,16-Feb,7,0,0,0
1,N2,daf,17,2,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,17,3,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,17,4,02-Mar,M,16-Feb,14,1,0,0
1,N2,daf,17,5,08-Mar,E,16-Feb,20,0,1,0
1,N2,daf,17,6,15-Mar,E,16-Feb,27,0,1,0
1,N2,daf,17,7,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,17,8,19-Mar,D,16-Feb,31,1,0,0
1,N2,daf,17,9,20-Mar,D,16-Feb,32,1,0,0
1,N2,daf,17,10,21-Mar,D,16-Feb,33,1,0,0
1,N2,daf,18,1,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,18,2,27-Feb,M,16-Feb,11,1,0,0
1,N2,daf,18,3,28-Feb,M,16-Feb,12,1,0,0
1,N2,daf,18,4,01-Mar,W,16-Feb,13,0,0,0
1,N2,daf,18,5,06-Mar,L,16-Feb,18,0,0,0
1,N2,daf,18,6,17-Mar,D,16-Feb,29,1,0,0
1,N2,daf,18,7,17-Mar,D,16-Feb,29,1,0,0
1,N2,daf,18,8,18-Mar,D,16-Feb,30,1,0,0
1,N2,daf,18,9,19-Mar,D,16-Feb,31,1,0,0
1,N2,daf,18,10,19-Mar,D,16-Feb,31,1,0,0
1,N2,ev,19,1,21-Feb,M,16-Feb,5,1,0,0
1,N2,ev,19,2,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,19,3,24-Feb,M,16-Feb,8,1,0,0
1,N2,ev,19,4,28-Feb,M,16-Feb,12,1,0,0
1,N2,ev,19,5,04-Mar,D,16-Feb,16,1,0,0
1,N2,ev,19,6,05-Mar,D,16-Feb,17,1,0,0
1,N2,ev,19,7,07-Mar,D,16-Feb,19,1,0,0
1,N2,ev,19,8,09-Mar,D,16-Feb,21,1,0,0
1,N2,ev,19,9,10-Mar,D,16-Feb,22,1,0,0
